time;;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20180116:0210;;0.0;0.0;0.0;0.0;5.33;5.79;0.0
20180116:0310;;0.0;0.0;0.0;0.0;5.81;6.34;0.0
20180116:0410;;0.0;0.0;0.0;0.0;5.93;6.41;0.0
20180116:0510;;0.0;0.0;0.0;0.0;5.92;6.62;0.0
20180116:0610;;0.0;0.0;0.0;0.0;5.65;6.34;0.0
20180116:0710;;0.0;0.0;0.0;0.0;5.51;6.41;0.0
20180116:0810;;8.0;21.05;0.0;3.84;5.37;8.07;0.0
20180116:0910;;0.0;17.0;0.0;10.28;5.0;6.97;0.0
20180116:1010;;60.0;117.0;0.0;15.0;4.64;6.48;0.0
20180116:1110;;0.0;81.0;0.0;17.61;5.5;5.72;0.0
20180116:1210;;94.01;136.0;0.0;17.87;5.8;5.66;0.0
20180116:1310;;50.0;125.0;0.0;15.74;5.66;6.0;0.0
20180116:1410;;5.0;75.0;0.0;11.43;4.72;5.79;0.0
20180116:1510;;41.01;16.48;0.0;5.32;4.37;5.52;0.0
20180116:1610;;0.0;0.0;0.0;0.0;3.92;4.9;0.0
20180116:1710;;0.0;0.0;0.0;0.0;3.63;4.69;0.0
20180116:1810;;0.0;0.0;0.0;0.0;3.13;4.83;0.0
